Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
new,Chrome 131.0.0.0,,,03-12-2024 14:56:07,03-12-2024 14:57:25,1m - 17.165s,PASSED
,,,,,,,
Test Cases/a1/a10,Chrome 131.0.0.0,,,03-12-2024 14:56:08,03-12-2024 14:56:15,7.164s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,03-12-2024 14:56:09,03-12-2024 14:56:15,6.107s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,03-12-2024 14:56:15,03-12-2024 14:56:15,0.395s,PASSED
,,,,,,,
Test Cases/a1/a12,Chrome 131.0.0.0,,,03-12-2024 14:56:15,03-12-2024 14:56:54,38.253s,PASSED
"openBrowser(""yahoo.com"")",Chrome 131.0.0.0,,,03-12-2024 14:56:16,03-12-2024 14:56:53,37.231s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,03-12-2024 14:56:53,03-12-2024 14:56:54,0.551s,PASSED
,,,,,,,
Test Cases/a1/a22,Chrome 131.0.0.0,,,03-12-2024 14:56:54,03-12-2024 14:56:58,4.648s,PASSED
"openBrowser(""google.com"")",Chrome 131.0.0.0,,,03-12-2024 14:56:54,03-12-2024 14:56:58,3.985s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,03-12-2024 14:56:58,03-12-2024 14:56:58,0.446s,PASSED
,,,,,,,
Test Cases/a1/a32,Chrome 131.0.0.0,,,03-12-2024 14:56:58,03-12-2024 14:57:04,5.664s,PASSED
"openBrowser(""gmail.com"")",Chrome 131.0.0.0,,,03-12-2024 14:56:59,03-12-2024 14:57:03,4.617s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,03-12-2024 14:57:03,03-12-2024 14:57:04,0.744s,PASSED
,,,,,,,
Test Cases/a1/a42,Chrome 131.0.0.0,,,03-12-2024 14:57:04,03-12-2024 14:57:06,2.431s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,03-12-2024 14:57:04,03-12-2024 14:57:06,2.016s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,03-12-2024 14:57:06,03-12-2024 14:57:06,0.382s,PASSED
,,,,,,,
Test Cases/a1/a5,Chrome 131.0.0.0,,,03-12-2024 14:57:06,03-12-2024 14:57:09,2.375s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,03-12-2024 14:57:06,03-12-2024 14:57:08,1.914s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,03-12-2024 14:57:08,03-12-2024 14:57:09,0.422s,PASSED
,,,,,,,
Test Cases/a1/a6,Chrome 131.0.0.0,,,03-12-2024 14:57:09,03-12-2024 14:57:11,2.700s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,03-12-2024 14:57:09,03-12-2024 14:57:11,2.243s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,03-12-2024 14:57:11,03-12-2024 14:57:11,0.421s,PASSED
,,,,,,,
Test Cases/a1/a7,Chrome 131.0.0.0,,,03-12-2024 14:57:11,03-12-2024 14:57:14,2.385s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,03-12-2024 14:57:11,03-12-2024 14:57:13,1.994s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,03-12-2024 14:57:13,03-12-2024 14:57:14,0.366s,PASSED
,,,,,,,
Test Cases/a1/a8,Chrome 131.0.0.0,,,03-12-2024 14:57:14,03-12-2024 14:57:16,2.520s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,03-12-2024 14:57:14,03-12-2024 14:57:16,2.062s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,03-12-2024 14:57:16,03-12-2024 14:57:16,0.396s,PASSED
,,,,,,,
Test Cases/a1/a9,Chrome 131.0.0.0,,,03-12-2024 14:57:16,03-12-2024 14:57:19,2.359s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,03-12-2024 14:57:16,03-12-2024 14:57:18,1.986s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,03-12-2024 14:57:18,03-12-2024 14:57:19,0.346s,PASSED
,,,,,,,
Test Cases/a32,Chrome 131.0.0.0,,,03-12-2024 14:57:19,03-12-2024 14:57:25,5.924s,PASSED
"openBrowser(""gmail.com"")",Chrome 131.0.0.0,,,03-12-2024 14:57:19,03-12-2024 14:57:24,5.121s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,03-12-2024 14:57:24,03-12-2024 14:57:25,0.770s,PASSED
